0
"instruct when did virgin australia start ?oper context virgin ,australia the trad nam of virgin ...a respons virgin australia commenc servic on 31 ...augu categori _closedqa :nam ,0 :dtyp object"
"instruct which i a speci of ?fish top or rop context nan respons top categori classif :nam ,1 :dtyp object"
"instruct who wa roi ?cameron when and wher did he ?work context the cameron nunatak (72°36′ )163°43′e ar a ... respons roi .e cameron wa a .biologt he work in ...a categori _informationextract :nam ,8699 :dtyp object"
"instruct tell me about the histori of how the nba ?start context the basketball associ of america wa ...foun respons the leagu wa found in new york citi on ...jun categori summar :nam ,8700 :dtyp object"
"instruct how doe medit ?help context nan respons medit help relax the mind by help it ... categori _openqa :nam ,8701 :dtyp object"
"instruct classifi each scor a ""under ""par or ""over ...pa context nan respons :eagl under \:parnbogei over \parndoubl ...eagl categori classif :nam ,8702 :dtyp object"
"instruct wher i ecseniu tessera commonli ?found context ecseniu tessera i a speci of combtooth ...ble respons ecseniu tessera i commonli found in coral ...re categori _closedqa :nam ,8703 :dtyp object"
"instruct what ar three craft with a wir coat ?hanger context nan respons - creat a mobil by cut up the coat ...hang categori brainstorm :nam ,8704 :dtyp object"
"instruct why did rom hav so mani bad ?emperor context nan respons the roman empir had mani bad emperor for a ...v categori _generalqa :nam ,8705 :dtyp object"
"instruct who won the india’ highest literari award ...56t context nan respons nilmani (phookanassames )poet categori _openqa :nam ,8706 :dtyp object"
"instruct what i the best nfl football team of all ?tim context nan respons it depend on how you measur ''.best if ...best categori _generalqa :nam ,8707 :dtyp object"
"instruct pleas giv me a summari of what -aesgcm i ...an context in ,cryptographi /galoiscount mod ()[]gcm1 ... respons -aesgcm i a mod of oper for -...symmetrick categori summar :nam ,8708 :dtyp object"
"instruct wher should you visit in bel if you ar ...lo context nan respons you should visit secret beach on ambergri ...cai categori _openqa :nam ,8709 :dtyp object"
"instruct what i credit ?scor context nan respons thi i a wai of work out the risk of not ...b categori _openqa :nam ,8710 :dtyp object"
"instruct how much energi i releas in a -...deuteriumtri context nan respons a -deuteriumtritium ()dt fusion reaction ...resul categori _openqa :nam ,8711 :dtyp object"
"instruct if ther ar onli two genera ,remain what ...h context accord to the world regist of marin ...spec respons most of the other 24 wer realloc a -...subg categori _closedqa :nam ,8712 :dtyp object"
"instruct which sea on earth ha no beach context nan respons sargasso sea categori _openqa :nam ,8713 :dtyp object"
"instruct what year did the titan ?sink context nan respons the titan sank in .1912 categori _openqa :nam ,8714 :dtyp object"
"instruct wher should i go on my ?honeymoon context nan respons ther ar mani beautiful plac to go on a ...hon categori _generalqa :nam ,8715 :dtyp object"
"instruct what i a stat of ?tranc context nan respons a stat of tranc i a weekli intert radio ... categori _generalqa :nam ,8716 :dtyp object"
"instruct tell me if thes ar tv show or :movi ...break context nan respons tv :show break ,bad ,dexter gam of ...thron categori classif :nam ,8717 :dtyp object"
"instruct given thes paragraph about batteri storag ...p context a of ,2021 the power and capac of the ...larg respons the first phas of vistra 'energi moss ...landin categori _closedqa :nam ,8718 :dtyp object"
"instruct given the introduct of ,chatgpt tell me ...how context chatgpt wa launch a a prototyp on ...novemb respons ther ar two chatgpt version so .far the ...fir categori _closedqa :nam ,8719 :dtyp object"
"instruct pleas giv me a short bullet list of the ...th context domin theori of the \...relationshipnsever respons - structur :function the theori of ...stru categori summar :nam ,8720 :dtyp object"
"instruct classifi each of the follow a either a ...nat context nan respons natur hair :color ,blond ,brunett ,red ...bla categori classif :nam ,8721 :dtyp object"
"instruct wher i mount ?evert context mount evert (:nepali ,सगरमाथा :roman ...sag respons mount evert i loc in the himalayan ...moun categori _closedqa :nam ,8722 :dtyp object"
"instruct what i a good anim to watch for someon who ... context nan respons thi veri much depend on on your person ...pre categori _generalqa :nam ,8723 :dtyp object"
"instruct what i the seca art ?award context nan respons seca stand for societi for the encourag ... categori _openqa :nam ,8724 :dtyp object"
"instruct why i win countri in northern california a ...g context nan respons travel to win countri in northern ...californ categori _creativewt :nam ,8725 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons crwth i ,string cowbell i .percuss categori classif :nam ,8726 :dtyp object"
"instruct classifi each a a chip or a :cracker ...goldfish context nan respons cracker ar goldfish and -,cheezit both ...being categori classif :nam ,8727 :dtyp object"
"instruct how import i pilot commun with a ...no context an airfield traffic pattern i a standard ...path respons pilot into a -nontow airport in my ...exp categori _closedqa :nam ,8728 :dtyp object"
"instruct what ar four cre wai to us a chess ...set context nan respons you could us the piec to invent a ...differ categori brainstorm :nam ,8729 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons koto i ,string kepyak i .percuss categori classif :nam ,8730 :dtyp object"
"instruct what i your biggest pet peev when us ...emai context nan respons most email product applic allow ...the categori _generalqa :nam ,8731 :dtyp object"
"instruct who i the compani sonova context sonova hold ag (phonak hold ag befor 1 ... respons sonova hold ag (phonak hold ag befor 1 ... categori summar :nam ,8732 :dtyp object"
"instruct which nfl team ha the most super bowl ...champio context nan respons the pittsburgh steeler and the new england ...pa categori _openqa :nam ,8733 :dtyp object"
"instruct classifi each of the follow hogwart ...studen context nan respons the gryffindor student :ar harri ,potter ...her categori classif :nam ,8734 :dtyp object"
"instruct classifi each of the follow among a ...countri context nan respons america : ,non north america : ,contin ...au categori classif :nam ,8735 :dtyp object"
"instruct what team ha won the most stanlei ?cup context nan respons the montreal canadien hav won the most ...stanl categori _openqa :nam ,8736 :dtyp object"
"instruct what should i eat when i visit south india ? context nan respons south india i known for vegetarian ...delicaci categori brainstorm :nam ,8737 :dtyp object"
"instruct describ zmot (zero moment of )truth and how ...i context nan respons the -3step model (,zmot ,fmot )smot of ...marketi categori _creativewt :nam ,8738 :dtyp object"
"instruct when wa mit ?found context the massachust institut of technologi (...mit respons 1861 categori _closedqa :nam ,8739 :dtyp object"
"instruct how mani contin ar ther on ?earth context nan respons ther ar seven contin on ,earth and thei ... categori _openqa :nam ,8740 :dtyp object"
"instruct what ar the four ,season and what month ...doe context nan respons the four season ar ,winter ,spring summer ...an categori _openqa :nam ,8741 :dtyp object"
"instruct a dialogu between two charact discuss ...t context nan respons person :1 ,hei what ?happen why ar you ?...sad categori _creativewt :nam ,8742 :dtyp object"
"instruct tell me which of thes ar serv hot or :...cold context nan respons soup and mash potato ar both serv .hot ... categori classif :nam ,8743 :dtyp object"
"instruct wher do the kardashian ?liv context nan respons the kardashian liv in hidden ,hill ca but ...o categori _generalqa :nam ,8744 :dtyp object"
"instruct nam som of the bravolebr from the real ... context nan respons carolin ,brook carolin ,stanburi chanel ...aya categori _openqa :nam ,8745 :dtyp object"
"instruct which of the follow number ar odd and ...whi context nan respons thes number ar :odd ,1 ,35 ,103 ,29 .41 ...and categori classif :nam ,8746 :dtyp object"
"instruct nam fiv fir .pokemon context nan respons fiv fir pokemon ar ,rapidash ,magmar ...vulpix categori _openqa :nam ,8747 :dtyp object"
"instruct extract from the text the variou nam that ...t context the six nat i the successor to the hom ...n respons * 1883 / 1909 - hom nat championship \*n ... categori _informationextract :nam ,8748 :dtyp object"
"instruct ,histor what ar the largest anim on ... context nan respons the largest anim to roam the earth wer ...the categori _openqa :nam ,8749 :dtyp object"
"instruct what i the azur equival of ?ek context nan respons microst azur offer the azur kubernet ...se categori _openqa :nam ,8750 :dtyp object"
"instruct how ha 'mcdonald target audi chang ...ov context fast food restaur often aim som of their ... respons 'mcdonald ha consist aim their ...advert categori summar :nam ,8751 :dtyp object"
"instruct what hemispher i the unit stat ?in context nan respons the u i in the northern and western hemispher categori _openqa :nam ,8752 :dtyp object"
"instruct what ar som good flower to plant in ...hardin context nan respons you can grow a lot of great flower in zon ....7 categori brainstorm :nam ,8753 :dtyp object"
"instruct why did the cow jump over the ?moon context nan respons the cow want to jump to the moon becaus it ... categori _creativewt :nam ,8754 :dtyp object"
"instruct what film won best pictur at the 95th ...academi context nan respons everyth everywher all at onc categori _openqa :nam ,8755 :dtyp object"
"instruct what ar som dish that avocado can be ...us context nan respons avocado ar a delici creami fruit that ...can categori brainstorm :nam ,8756 :dtyp object"
"instruct given thi paragraph about a ,singer what wa ... context robyn rihanna fenti []nh2 (//riˈænə ()listen ...r respons music of the sun ()2005 categori _closedqa :nam ,8757 :dtyp object"
"instruct who i tim context li """"oliveira peinan (born jun ,28 )2000 i ...a respons ollow hi perform at gpl 2015 season 3 ... categori _informationextract :nam ,8758 :dtyp object"
"instruct for bronz ,layer how do you suggest handl ... context nan respons either method will .work ther ar som ...advan categori _generalqa :nam ,8759 :dtyp object"
"instruct who i us spark in ?product context nan respons a of ,2016 survei show that mor than 1000 ...o categori _generalqa :nam ,8760 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons lyra i ,string derkach i .percuss categori classif :nam ,8761 :dtyp object"
"instruct identifi which instru i string or ...woodwin context nan respons heckelphon i ,woodwind gravikord i .string categori classif :nam ,8762 :dtyp object"
"instruct classifi each of thes movi a being for ...adu context nan respons the longest :dai \:adultsnbab \:kidsnmin ... categori classif :nam ,8763 :dtyp object"
"instruct what relig i the oldest in the ?world context nan respons the oldest relig in the world i .hinduism ... categori _openqa :nam ,8764 :dtyp object"
"instruct given a refer text about stevan .l ,...davi context stevan .l davi (born )1948 i an author and ... respons stevan .l davi went to colleg at duk ...un categori _closedqa :nam ,8765 :dtyp object"
"instruct what tradit process doe cyber pha ...follow context the cyber pha methodologi reconcil the ...proc respons hazop categori _closedqa :nam ,8766 :dtyp object"
"instruct classifi the movi bas on whether thei ...wer context nan respons 2001 : ,albela ,lagaan kabhi khushi kabhi ...gha categori classif :nam ,8767 :dtyp object"
"instruct provid kei stat about venu in a bullet ...li context venu i the second planet from the .sun it ...i respons - .2247 earth dai to orbit the \-sunn mean ...te categori _informationextract :nam ,8768 :dtyp object"
"instruct what ar som of the -mustvit plac in ...toho context nan respons som of the -mustvit plac in ,tohoku ...japan categori _openqa :nam ,8769 :dtyp object"
"instruct why i the sec the best football confer ...in context nan respons the sec i the best confer for sever ...rea categori classif :nam ,8770 :dtyp object"
"instruct classifi the anim bas on their food ...habit context nan respons herbivor - ,cow ,goat \.deerncarnivor - ...l categori classif :nam ,8771 :dtyp object"
"instruct which member of *nsync wa a replac for ...a context nan respons lanc .bass categori _openqa :nam ,8772 :dtyp object"
"instruct what ar fun act to do with a toddler ...i context nan respons ther ar a varieti of fun thing to do with ...a categori _generalqa :nam ,8773 :dtyp object"
"instruct did thoma attewell bat with a right or left ...h context thoma attewell (7 novemb 1869 – 6 juli ...1937 respons right hand categori _closedqa :nam ,8774 :dtyp object"
"instruct which of the number 1 through 10 ar prim ...nu context nan respons the number ,2 ,3 5 and 7 ar prim .number categori classif :nam ,8775 :dtyp object"
"instruct giv me a list of 10 book on build better ... context nan respons .1 ""atom ""habit by jam \.clearn2 ""the ...pow categori brainstorm :nam ,8776 :dtyp object"
"instruct how should i sleep train my ?babi context nan respons mak sur the room i dark .enough if you ...hold categori _generalqa :nam ,8777 :dtyp object"
"instruct list the hindi televis seri by ekta .kapoor context ektaa kapoor start her career at the ag of ... respons the hindi tv seri by ekta kapoor includ ...man categori _informationextract :nam ,8778 :dtyp object"
"instruct which ar the main reason for doing a ?phd context nan respons a phd degre provid advanc critic ...thinki categori _generalqa :nam ,8779 :dtyp object"
"instruct 'what on wai biotechnologi wa us in ...world context in the earli twentieth centuri scientist ...gain respons in ,1917 chaim weizmann first us a pur ...micr categori _informationextract :nam ,8780 :dtyp object"
"instruct wher doe delta lak stor the ?data context nan respons when writ ,data you can specifi the ...locatio categori _generalqa :nam ,8781 :dtyp object"
"instruct classifi the citi bas on whether thei ar ... context nan respons south georgia and south sandwich island - ...gry categori classif :nam ,8782 :dtyp object"
"instruct giv me a list of the best true crim podcast ... context nan respons ,morbid crim ,junki my favorit ,murder ...2020 categori brainstorm :nam ,8783 :dtyp object"
"instruct what ar iso compliant crypto ?curr context nan respons xrp and xlm ar the most popular iso 20022 ...com categori _generalqa :nam ,8784 :dtyp object"
"instruct why i captain america stev roger the ...leader context nan respons stev roger also know a captain america i ...t categori _generalqa :nam ,8785 :dtyp object"
"instruct explain to your 6 year son why it ok to fail ... context nan respons dear ,son when you wer born you wer so ...small categori _creativewt :nam ,8786 :dtyp object"
"instruct identifi which anim speci i al or ...exti context nan respons bowhead whal i ,al sivatherium i .extinct categori classif :nam ,8787 :dtyp object"
"instruct what i typic enterpris sal person comp ...m context nan respons /5050 categori _openqa :nam ,8788 :dtyp object"
"instruct pleas tell me about the golden gat bridg ...wi context the golden gat bridg i a suspens bridg ... respons the golden gat bridg i a suspens bridg ... categori summar :nam ,8789 :dtyp object"
"instruct bas on the follow ,passag what did ...alber context long befor ani knowledg of electr ...exist respons in ,1905 albert einstein publish a paper ...tha categori _informationextract :nam ,8790 :dtyp object"
"instruct what i ""strok ""gain in ?golf context nan respons strok gain i a method of measur a ...golf categori _generalqa :nam ,8791 :dtyp object"
"instruct which i a speci of ?fish boar or boarfish context nan respons boarfish categori classif :nam ,8792 :dtyp object"
"instruct last 5 prim minist of india context nan respons narendra \modinmanmohan \singhnat bihari ...vaj categori brainstorm :nam ,8793 :dtyp object"
"instruct what i transistor ?technologi context long befor ani knowledg of electr ...exist respons -solidst electron cam into it own ...with categori _informationextract :nam ,8794 :dtyp object"
"instruct tell me about the plot to harri potter context nan respons harri potter i the stori of a seemingli ...norma categori _generalqa :nam ,8795 :dtyp object"
"instruct in what year did endless night com ?out context endless night in aurora (:chines )極光之愛 i a ... respons 2014 categori _closedqa :nam ,8796 :dtyp object"
"instruct what kind of diseas i wheat mildew context wheat mildew i a wheat diseas that affect ...t respons wheat mildew i a wheat diseas that affect ...t categori _closedqa :nam ,8797 :dtyp object"
"instruct pleas giv me a comma separ list of the ...c context the treati of dunkirk wa sign by franc ...and respons ,franc unit ,kingdom ,belgium luxembourg , ... categori summar :nam ,8798 :dtyp object"
"instruct wher i the kilo railwai stat context kilo i a stat on the vr commut rail ...netw respons kilo i a stat on the vr commut rail ...netw categori _closedqa :nam ,8799 :dtyp object"
"instruct classifi the disnei movi charact into the ... context nan respons the lion king - ,mufasa ,scar \simbanfrozen - ... categori classif :nam ,8800 :dtyp object"
"instruct what i the best color ? context nan respons the best color should be black and whit categori brainstorm :nam ,8801 :dtyp object"
"instruct given thi paragraph about ,aronia what i ...ano context aronia i a genu of decidu ,shrub the ...cho respons aronia i also known a chokeberri and thei ... categori _closedqa :nam ,8802 :dtyp object"
"instruct what doe thai songkran festiv repres ...an context songkran i a term der from sanskrit ...संक्र respons thai songkran festiv i a new year ...celebrati categori _informationextract :nam ,8803 :dtyp object"
"instruct doe spark support ?javascrt context nan respons spark doe not hav n -builtin support ...fo categori _openqa :nam ,8804 :dtyp object"
"instruct what ar toe ?bean context nan respons toe bean i a colloqui term origin on ... categori _openqa :nam ,8805 :dtyp object"
"instruct tell me about the career of david allen laycock context david allen laycock (2 septemb 1947 – 16 ...sep respons david allen laycock (2 septemb 1947 – 16 ...sep categori _closedqa :nam ,8806 :dtyp object"
"instruct what i the spengler cup context the spengler cup i an annual invit ...ic respons the spengler cup i an annual invit ...ic categori _closedqa :nam ,8807 :dtyp object"
"instruct giv me a list of scientist who influenc ...th context nan respons isaac ,newton michael ,faradai and jam ...clerk categori brainstorm :nam ,8808 :dtyp object"
"instruct what kind of bear can you see in the katmai ...n context nan respons brown bear ar a main attract at the ...katma categori _openqa :nam ,8809 :dtyp object"
"instruct how mani voyag did columbu lead to ?america context nan respons four categori _openqa :nam ,8810 :dtyp object"
"instruct which countri produc the most win on an ...ann context nan respons itali categori _openqa :nam ,8811 :dtyp object"
"instruct how mani sink ship did violet jessop ...survi context violet const jessop (2 octob 1887 – 5 ...ma respons .2 categori _closedqa :nam ,8812 :dtyp object"
"instruct label each of the follow a either a movi ... context nan respons :rrr \\moviennjohn :wick \\moviennman on :...wir categori _generalqa :nam ,8813 :dtyp object"
"instruct what i a ?beard context nan respons a beard i a facial hair styl that grow ...und categori _openqa :nam ,8814 :dtyp object"
"instruct extract the differ wai of deal with ...und context resolv \underfittingnther ar multipl ...wai respons the differ wai of deal with undert ...m categori _informationextract :nam ,8815 :dtyp object"
"instruct what i 'india rank in global gender gap ...ind context nan respons 135 out of 146 countri categori _openqa :nam ,8816 :dtyp object"
"instruct who did the french nat football team ...plai context nan respons on //,06072018 franc won -20 against uruguai ... categori _openqa :nam ,8817 :dtyp object"
"instruct wa tyler thompson a diplot context tyler thompson ()1907–2002 wa an american ...amb respons tyler thompson ()1907–2002 wa an american ...amb categori summar :nam ,8818 :dtyp object"
"instruct prepar the count of train which serv ...mount context mount prospect i a stat on 'metra union ...p respons -\-\-\-...monday62ntuesday62nwednesday62nthursdai categori _informationextract :nam ,8819 :dtyp object"
"instruct who won the 1974 nobel memori priz in ...econo context friedrich august von hayek ch fba (//ˈhaɪək ...hy respons friedrich august von hayek and gunnar myrdal ... categori _closedqa :nam ,8820 :dtyp object"
"instruct which of thes ar most lik to be found in ... context nan respons a ,lamp ,bed and coffe pot ar most lik ...to categori classif :nam ,8821 :dtyp object"
"instruct what ar the most common food ?allergi context allerg reaction ar abnorm immun ...respon respons the most common allergi in human :\-aren ...mi categori summar :nam ,8822 :dtyp object"
"instruct how larg ar eleph ?egg context nan respons eleph do not lai .egg thei giv birth to ... categori _generalqa :nam ,8823 :dtyp object"
"instruct what i star alli context nan respons star alli i the 'world largest global ...ai categori _openqa :nam ,8824 :dtyp object"
"instruct my trophi doe not fit my suitcas becaus it ... context nan respons - get a bigger suitcas \-n 'dont bring your ...t categori brainstorm :nam ,8825 :dtyp object"
"instruct who i the lead singer of the ?gorillaz context nan respons damon albarn i the lead singer of the gorillaz categori _openqa :nam ,8826 :dtyp object"
"instruct which i the most popular italian song festiv context the sanremo music festiv (:italian festiv ... respons the sanremo music festiv categori _closedqa :nam ,8827 :dtyp object"
"instruct what profession football team plai in red ...an context crystal palac football ,club commonli ...referr respons crystal palac fc categori _closedqa :nam ,8828 :dtyp object"
"instruct given thi paragraph about john .c ,young ...wher context john clark young (august ,12 1803 – jun ,23 ... respons dickinson colleg and princeton theolog ...se categori _closedqa :nam ,8829 :dtyp object"
"instruct what i edison famou ?for context nan respons invent the light bulb categori _openqa :nam ,8830 :dtyp object"
"instruct how can i thicken my soup ?recip context nan respons if you want to mak your soup ,thicker try ...add categori _creativewt :nam ,8831 :dtyp object"
"instruct extract the current cash rat and basi point ... context nan respons .%360 increas by 25 basi point categori _generalqa :nam ,8832 :dtyp object"
"instruct how do you thicken bolognes ?sauc context nan respons you can us flour or cornstarch to thicken ...you categori _openqa :nam ,8833 :dtyp object"
"instruct what did franz beckenbau call bobbi ?moor context ""my ,captain my ,leader my -righthand .man he ... respons franz beckenbau describ bobbi moor a ""a ... categori _informationextract :nam ,8834 :dtyp object"
"instruct what i the differ between a fried egg ...pre context nan respons ""--""sunnysideup refer to an egg that i ...fried categori _openqa :nam ,8835 :dtyp object"
"instruct in the given ,text list down som import ...po context pop adrian v (:latin adrianu ;v .c /...12101220 respons .1 pop adrian ,v sometim known a adrianu ... categori summar :nam ,8836 :dtyp object"
"instruct from the given ,text writ som import ...poin context a vibrato system on a guitar i a mechan ...d respons .1 a vibrato system i a mechan compon ... categori summar :nam ,8837 :dtyp object"
"instruct given a refer text about ,chadwick ...illinoi context chadwick i a villag in carroll ,counti ...illin respons the median famili incom in ,chadwick ...illinoi categori _closedqa :nam ,8838 :dtyp object"
"instruct how doe a push rod intern combust ...engin context nan respons the heart of a push rod intern combust ...en categori _generalqa :nam ,8839 :dtyp object"
"instruct when wa bowl believ to hav been ?invent context nan respons evid point to ancient egypt being the ...ori categori _openqa :nam ,8840 :dtyp object"
"instruct identifi which instru i string or ...percuss context nan respons -autoharp i ,string tsuzumi i .percuss categori classif :nam ,8841 :dtyp object"
"instruct how can i support a lov on going through ...an context nan respons thi i a great .question a a person who ha ... categori _generalqa :nam ,8842 :dtyp object"
"instruct why i standard guitar tun ?eadgb context nan respons the standard guitar tun of eadgb offer ...co categori _openqa :nam ,8843 :dtyp object"
"instruct what character turbul flow context in fluid ,dynam turbul or turbul ...flo respons turbul flow i character by chaotic ...cha categori _informationextract :nam ,8844 :dtyp object"
"instruct bas on the provid ,text in what year did ...t context the nat galleri of ireland (:irish ...gailea respons the nat galleri of ireland open in ...1864 categori _closedqa :nam ,8845 :dtyp object"
"instruct bas on thi paragraph about the earli ...career context after he receiv a licens to preach from ...the respons gideon blackburn categori _closedqa :nam ,8846 :dtyp object"
"instruct which charact belong to dc or marvel ...univ context nan respons deadpool i ,marvel deathstrok i dc categori classif :nam ,8847 :dtyp object"
"instruct which i a speci of ?fish snapper or tapper context nan respons snapper categori classif :nam ,8848 :dtyp object"
"instruct identifi the bird from the :list ,cockroach ...ha context nan respons hawfinch categori classif :nam ,8849 :dtyp object"
"instruct what famou surfer hav died whil ?surf context nan respons ther ar mani surfer that hav died doing ...wh categori brainstorm :nam ,8850 :dtyp object"
"instruct how do you fix a punctur on a mountain ?bik context nan respons step .1 find the \punctures the valv a ... categori brainstorm :nam ,8851 :dtyp object"
"instruct i hav win tast plan for the weekend , ...gi context nan respons the most import part of win tast i to ... categori _creativewt :nam ,8852 :dtyp object"
"instruct extract the retir ag in ,franc ,...germani context retir \\\\\...agencountrytmentwomentyeartt respons :{"""":""-"",francemen6267 """":""-""}\...wonen6267ngerma categori _informationextract :nam ,8853 :dtyp object"
"instruct bowl achiev of andrew kyl context andrew kyl (born )1978 i a northern irish ...in respons andrew kyl (born )1978 i a northern irish ...in categori summar :nam ,8854 :dtyp object"
"instruct how to peopl bui part for classic car that ... context nan respons a challeng to own a classic car i buying ... categori _openqa :nam ,8855 :dtyp object"
"instruct if you wer to design a ,pantheon how mani ...god context nan respons the beauti of polyth i that ther i no ...l categori brainstorm :nam ,8856 :dtyp object"
"instruct extract the theori for why the mari celest ... context mari celest (//;səˈlɛst often errones ...ref respons the theori for why the mari celest wa ...aban categori _informationextract :nam ,8857 :dtyp object"
"instruct if you could chang on thing about thi ...world context nan respons assum i could chang just on thing in ...thi categori _creativewt :nam ,8858 :dtyp object"
"instruct what ar the ?futur context nan respons futur ar a typ of deriv contract ...agr categori _openqa :nam ,8859 :dtyp object"
"instruct what ar agent in the matrix and what i ...thei context morpheu and hi crew ar a group of rebel ...wh respons agent in the matrix ar sentient ''program ...d categori _informationextract :nam ,8860 :dtyp object"
"instruct what kind of grand prix i the 1932 ...australian context the 1932 australian grand prix wa a motor ...rac respons the 1932 australian grand prix wa a motor ...rac categori _closedqa :nam ,8861 :dtyp object"
"instruct how wa the san francisco bai ?creat context until the last ic ,ag the basin which i ...now respons around ,11000 year ago the earth began to ...wam categori _closedqa :nam ,8862 :dtyp object"
"instruct could you describ who i bnp pariba ()?bnpp context bnp pariba i a french intern bank ... respons bnp pariba alia bnpp i a french bank ...gro categori _closedqa :nam ,8863 :dtyp object"
"instruct find the four eye shap on maitum ...anthropomor context sinc the eye ar believ to be ,express ... respons ,almond ,ovaloid ,round rectangular categori _informationextract :nam ,8864 :dtyp object"
"instruct can dog ?talk context nan respons dog 'cant talk in the sam wai human ,can ...b categori _generalqa :nam ,8865 :dtyp object"
"instruct giv me a list of som u armi train school context nan respons )1 airborn :school aka ""jump ""school i a ...thr categori brainstorm :nam ,8866 :dtyp object"
"instruct what i a ?snowball context nan respons a snowball i a ,small -ballshap collect ... categori _openqa :nam ,8867 :dtyp object"
"instruct of the liv anim speci which hav been ...d context anim ar ,multicellular eukaryot ...organ respons ther ar .105 million (,,)1050000 insect ...spec categori _closedqa :nam ,8868 :dtyp object"
"instruct extract the nam of the island loc on ...th context thes island can be divid into three ...recogn respons ,terceira ,graciosa são ,jorg pico and faial categori _informationextract :nam ,8869 :dtyp object"
"instruct list fiv titl by jul .vern context nan respons around the world in eighti ,dai from the ...eart categori _openqa :nam ,8870 :dtyp object"
"instruct when doe human lif ?begin context nan respons caus theori i appli to the question ...of categori _generalqa :nam ,8871 :dtyp object"
"instruct which of thes drink ar :caffein ,water ... context nan respons ,coffe ,tea and pre workout mai hav vari ... categori classif :nam ,8872 :dtyp object"
"instruct giv me a list of the best anim on can ...hav context nan respons .1 \.catn2 \.dogn3 \.rabbitn4 \.birdn5 \...fishn6 categori brainstorm :nam ,8873 :dtyp object"
"instruct what ar three popular 'women fashion rental ... context nan respons rent the ,runwai ,nuuli and fashionps categori _openqa :nam ,8874 :dtyp object"
"instruct how can you tak good star ?photo context nan respons tak good star photo requir 3 critic ...el categori _openqa :nam ,8875 :dtyp object"
"instruct what ar the advantag of us a keyboard ...an context nan respons nearli all profession gamer prefer to us ...a categori _generalqa :nam ,8876 :dtyp object"
"instruct what ar the benet of -minimallyinvas ...or context nan respons ther ar sever reason why an orthoped ...su categori _generalqa :nam ,8877 :dtyp object"
"instruct what i the movi the airzon solut context the airzon solut (styl a the airzon ... respons the airzon solut (styl a the airzon ... categori summar :nam ,8878 :dtyp object"
"instruct what ar the best thing to do when visit ...l context nan respons som popular tourist attract in lo ...angel categori brainstorm :nam ,8879 :dtyp object"
"instruct what i the differ between a gpu and a ?cpu context nan respons central process unit ()cpu and a graphic ...p categori _generalqa :nam ,8880 :dtyp object"
"instruct how do you ?juggl context nan respons juggl i the act of continu throw ...an categori _generalqa :nam ,8881 :dtyp object"
"instruct distinguish the follow famou peopl a ...aut context nan respons :author daniell \steelenjk \rowlingnle ...chil categori classif :nam ,8882 :dtyp object"
"instruct list the busi vertic of reli ...indust context reli industri limit i an indian ...multi respons \\energynpetrochemicalsnnatur \\...gasnretait categori _informationextract :nam ,8883 :dtyp object"
"instruct on a trip to the ,beach what can i do to ...prev context nan respons her ar som thing you can do to prevent ...bei categori brainstorm :nam ,8884 :dtyp object"
"instruct what i hispania context hispania (:latin hispānia [],hɪsˈpaːnia ...spani respons hispania (:latin hispānia [],hɪsˈpaːnia ...spani categori _closedqa :nam ,8885 :dtyp object"
"instruct tell me about the invers in postcoloni ...th context the term der from studi of modal ...of respons the term der from studi of modal ...of categori summar :nam ,8886 :dtyp object"
"instruct what ar all the wai on can travel from ...bosto context nan respons ther ar 3 mutual exclus mean of ...transp categori brainstorm :nam ,8887 :dtyp object"
"instruct of the stat ,list identifi the on ...th context nan respons thes stat show that on i polit ... categori classif :nam ,8888 :dtyp object"
"instruct what plant and anim ar n to arch ...n context an abund of wildlif occur in arch ...nati respons spadeft ,toad antelop ,squirrel scrub ...jai categori _informationextract :nam ,8889 :dtyp object"
"instruct think of 5 shad of blue i could paint my room context nan respons you could paint it babi ,blue robin ,blue ...turq categori brainstorm :nam ,8890 :dtyp object"
"instruct which of the follow citi ha the highest ...hi context nan respons delhi categori _openqa :nam ,8891 :dtyp object"
"instruct why would a person from switzerland immigr ... context nan respons the warm ,clim the nic ,weather the ...proxim categori _generalqa :nam ,8892 :dtyp object"
"instruct which i a bird or :fish ,blackcap black ...swall context nan respons black swallow i a ,fish blackcap i a bird categori classif :nam ,8893 :dtyp object"
"instruct what ar som of the basic invest ...strategi context nan respons invest strategi mai differ for ...individu categori _creativewt :nam ,8894 :dtyp object"
"instruct what year wa the movi big troubl in littl ... context big troubl in littl china (also known a ...joh respons 1986 categori _closedqa :nam ,8895 :dtyp object"
"instruct who ar the best wid receiv on the san ...fra context nan respons deebo ,samuel brandon ,aiyuk and juaun jen categori _openqa :nam ,8896 :dtyp object"
"instruct what i the movi the fabelman ?about context nan respons the fabelman i a -semiautobiograph ...comin categori _generalqa :nam ,8897 :dtyp object"
"instruct do successful compani becom ?public context nan respons ye categori _openqa :nam ,8898 :dtyp object"
"instruct explain what i april 'fool ?dai context nan respons - in the western ,histori april fools’ dai ...occ categori _generalqa :nam ,8899 :dtyp object"
"instruct what i the most danger ?spider context nan respons it i hard to pinpoint the most danger ...spid categori _generalqa :nam ,8900 :dtyp object"
